,HURR_STAT_TRANSFO_2016,HURR_STAT_TRANSFO_2012,SHIP,TRUTH,HWRF,OFCL,FSSE,GFSO,DSHP,Consensus_wo_HURR,Consensus_HURR_STAT_TRANSFO,HURR_STAT_GRU_2016,HURR_STAT_GRU_2012,Consensus_HURR_STAT_GRU,HURR_STAT_COMP_2016,HURR_STAT_COMP_2012,Consensus_HURR_STAT_COMP,HURR_STAT_2016,HURR_STAT_2012,Consensus_HURR_STAT,HURR_GRU_ONLY_2016,HURR_GRU_ONLY_2012,Consensus_HURR_GRU_ONLY,HURR_TRANSFO_ONLY_2016,HURR_TRANSFO_ONLY_2012,Consensus_HURR_TRANSFO_ONLY,HURR_STAT_TRANSFO_COMP_2016,HURR_STAT_TRANSFO_COMP_2012,Consensus_HURR_STAT_TRANSFO_COMP,CONSENSUS_HURR_4_XGB_ElasticNet_MAE,CONSENSUS_HURR_4_XGB_MLP_MSE
0,75.4057,73.70424,78.0,75.0,62.0,80.0,81.0,57.0,78.0,73.666664,74.101425,77.5202,78.67616,74.63005,73.382355,73.475235,73.59559,75.90249,72.87587,74.225624,74.34594,73.677826,73.83649,64.270355,60.10536,71.31759,75.73272,75.355125,74.18318,77.18868,75.68789075350358
1,80.316925,81.10275,81.0,85.0,66.0,85.0,83.0,61.0,81.0,76.666664,77.57923,89.32867,89.10513,79.83217,83.744194,83.91896,78.43605,83.425804,81.58071,78.35645,84.89705,86.54233,78.72426,66.90061,64.59774,74.22515,80.96854,86.839966,77.742134,87.25308,85.82500407541472
2,90.36807,85.64693,92.0,95.0,77.0,90.0,95.0,75.0,92.0,88.0,88.59202,96.57816,102.6815,90.14454,96.01216,88.16922,90.00304,93.66683,94.206055,89.41671,93.6641,96.78522,89.41602,67.26247,66.88646,82.81561,95.53813,89.999405,89.88454,96.216286,94.48956646300299
3,95.91616,94.59961,89.0,105.0,77.0,95.0,92.0,73.0,89.0,86.0,88.47904,102.99884,102.90577,90.24971,95.91071,94.52109,88.47768,98.29016,98.03966,89.07254,98.34569,100.10104,89.086426,71.41812,62.67221,82.35453,98.02161,94.55019,89.0054,101.7494,100.44802746936769
4,95.923904,98.68184,93.0,120.0,81.0,100.0,99.0,70.0,93.0,91.0,92.23097,100.78606,103.791855,93.44652,96.13392,98.4516,92.28348,95.86685,101.55865,92.21671,98.48801,99.583984,92.872,67.132706,65.34837,85.03317,96.7771,98.97916,92.444275,100.83894,99.47782684311696
5,108.75679,113.6988,104.0,115.0,77.0,110.0,106.0,71.0,104.0,95.666664,98.93919,110.64306,113.568085,99.41077,110.04782,110.02155,99.261955,108.01218,111.54762,98.753044,106.986664,109.38509,98.496666,75.81564,75.41479,90.70391,113.14667,115.04384,100.03667,112.56036,111.97125762265024
6,112.74883,119.29813,103.0,110.0,89.0,120.0,100.0,84.0,103.0,97.333336,101.18721,115.24765,119.5175,101.81191,108.184975,108.8374,100.04624,109.21737,111.23886,100.304344,115.45561,118.81439,101.86391,65.63106,68.377785,89.40776,114.05232,118.81384,101.51308,116.653244,115.94452125789238
7,116.717186,118.240524,120.0,110.0,94.0,120.0,117.0,95.0,120.0,110.333336,111.9293,114.986465,118.998764,111.49661,112.745804,115.52976,110.93645,114.803024,119.01645,111.45076,115.70674,120.29497,111.67668,54.37269,63.390297,96.34317,112.84416,119.62686,110.961044,117.77051,118.05694982565562
8,113.7721,118.8159,127.0,110.0,96.0,120.0,114.0,96.0,127.0,112.333336,112.69302,113.06084,119.92029,112.51521,117.33018,119.13777,113.58254,112.607635,118.39923,112.40191,112.54286,122.027756,112.38571,59.985878,64.693,99.24647,107.8555,120.4091,111.213875,116.55644,116.6568538214163
9,101.409744,108.92451,115.0,110.0,95.0,100.0,99.0,88.0,115.0,103.0,102.60243,100.08672,103.53235,102.27168,103.250336,111.21982,103.062584,103.66803,105.94937,103.16701,99.67464,103.75559,102.168655,61.34763,66.10773,92.58691,107.191666,110.1992,104.04791,102.28839,101.7193777925581
