,OFCL,DSHP,HURR_STAT_TRANSFO,SHIP,HWRF,FSSE,GFSO,Consensus_wo_HURR,Consensus_HURR_STAT_TRANSFO,TRUTH,HURR_STAT_GRU,Consensus_HURR_STAT_GRU,HURR_STAT_COMP,Consensus_HURR_STAT_COMP,HURR_STAT,Consensus_HURR_STAT,HURR_GRU_ONLY,Consensus_HURR_GRU_ONLY,HURR_TRANSFO_ONLY,Consensus_HURR_TRANSFO_ONLY
0,80.0,78.0,75.4057,78.0,62.0,81.0,57.0,73.666664,74.101425,75.0,77.534706,74.633675,73.80453,73.70113,74.49891,73.874725,79.89999,75.225,58.801544,69.950386
1,85.0,81.0,80.316925,81.0,66.0,83.0,61.0,76.666664,77.57923,85.0,88.8311,79.70778,82.56401,78.14101,85.79908,78.94977,82.51979,78.129944,60.75715,72.689285
2,90.0,92.0,90.36807,92.0,77.0,95.0,75.0,88.0,88.59202,95.0,99.05362,90.763405,91.89473,88.97368,97.39865,90.34966,95.92973,89.98244,61.627373,81.406845
3,95.0,89.0,95.91616,89.0,77.0,92.0,73.0,86.0,88.47904,105.0,101.21451,89.80363,94.7165,88.17912,97.09454,88.773636,100.79054,89.69763,61.0287,79.75717
4,100.0,93.0,95.923904,93.0,81.0,99.0,70.0,91.0,92.23097,120.0,101.48547,93.62137,98.096466,92.77412,91.95003,91.2375,100.54609,93.38652,63.365845,84.09146
5,110.0,104.0,108.75679,104.0,77.0,106.0,71.0,95.666664,98.93919,115.0,110.52333,99.38083,105.35886,98.089714,108.10217,98.77554,109.00384,99.00096,71.05544,89.51386
6,120.0,103.0,112.74883,103.0,89.0,100.0,84.0,97.333336,101.18721,110.0,116.67351,102.16838,106.54666,99.636665,107.29182,99.82295,117.071,102.267746,60.043015,88.01076
7,120.0,120.0,116.717186,120.0,94.0,117.0,95.0,110.333336,111.9293,110.0,115.44549,111.611374,110.326866,110.33172,114.04504,111.26126,114.83552,111.45888,54.482292,96.370575
8,120.0,127.0,113.7721,127.0,96.0,114.0,96.0,112.333336,112.69302,110.0,117.98543,113.74635,116.92991,113.482475,115.85629,113.21407,106.65147,110.912865,60.502007,99.3755
9,100.0,115.0,101.409744,115.0,95.0,99.0,88.0,103.0,102.60243,110.0,100.34032,102.33508,105.39065,103.597664,102.00786,102.75197,97.61151,101.65288,65.982704,93.745674
