,HURR_STAT_TRANSFO_2016,HURR_STAT_TRANSFO_2012,SHIP,TRUTH,HWRF,OFCL,FSSE,GFSO,DSHP,Consensus_wo_HURR,Consensus_HURR_STAT_TRANSFO,HURR_STAT_GRU_2016,HURR_STAT_GRU_2012,Consensus_HURR_STAT_GRU,HURR_STAT_COMP_2016,HURR_STAT_COMP_2012,Consensus_HURR_STAT_COMP,HURR_STAT_2016,HURR_STAT_2012,Consensus_HURR_STAT,HURR_GRU_ONLY_2016,HURR_GRU_ONLY_2012,Consensus_HURR_GRU_ONLY,HURR_TRANSFO_ONLY_2016,HURR_TRANSFO_ONLY_2012,Consensus_HURR_TRANSFO_ONLY,HURR_STAT_TRANSFO_COMP_2016,HURR_STAT_TRANSFO_COMP_2012,Consensus_HURR_STAT_TRANSFO_COMP,CONSENSUS_HURR_4_XGB_MLP_MSE,CONSENSUS_HURR_4_XGB_ElasticNet_MSE
0,55.501,54.795288,85.0,55.0,58.0,70.0,65.0,57.0,85.0,69.333336,65.87525,53.590397,55.677876,65.3976,54.615498,61.8387,65.65388,52.665916,58.982185,65.16648,60.48997,61.095734,67.12249,60.562607,60.645805,67.140656,54.14313,59.167664,65.53578,55.75735607037198,54.99585
1,50.784286,53.106716,74.0,55.0,58.0,65.0,66.0,60.0,74.0,66.0,62.19607,48.903503,49.0047,61.725876,50.556137,53.78469,62.139034,49.597954,50.787037,61.89949,52.91227,53.608166,62.728065,59.57135,55.34116,64.39284,48.32774,53.297634,61.581936,50.210906790089126,49.784515
2,46.59453,52.195465,75.0,55.0,58.0,65.0,62.0,58.0,75.0,65.0,60.398632,51.085403,52.286846,61.52135,47.855503,51.998,60.713875,47.77546,48.130047,60.693863,53.478706,54.432205,62.119675,51.464455,51.195297,61.61611,48.03525,47.49245,60.758812,48.98095762273397,48.893867
3,41.552467,43.896732,59.0,55.0,51.0,65.0,54.0,54.0,59.0,54.666668,51.388115,44.8005,43.352882,52.200127,41.570377,41.488815,51.392593,40.95233,40.54951,51.238083,43.466038,42.89171,51.86651,42.99259,43.583954,51.748146,44.160473,43.35569,52.04012,43.376149576165474,43.176
4,45.698303,45.667435,52.0,47.5,56.0,50.0,53.0,57.0,41.0,50.0,48.924576,50.47423,46.68011,50.118557,43.67842,43.195007,48.419605,43.600872,44.278847,48.40022,48.96053,49.05176,49.74013,47.697384,47.632362,49.424347,45.95925,44.11448,48.989815,48.54127208324273,48.516098
5,47.44071,48.11905,39.0,50.0,45.0,50.0,47.0,42.0,39.0,43.666668,44.610176,47.086838,47.469345,44.52171,46.68646,43.38806,44.421616,46.38099,44.80441,44.345245,44.46352,43.365417,43.86588,47.9243,48.703484,44.731075,51.241962,50.19507,45.56049,47.315173703988314,47.130463
6,63.571278,60.062378,76.0,75.0,60.0,70.0,66.0,60.0,76.0,67.333336,66.39282,54.900723,51.229584,64.22518,55.343945,55.63281,64.33598,52.92205,52.843334,63.730515,53.50757,56.65831,63.876892,80.50372,79.8363,70.62593,64.85854,69.34825,66.71464,61.650623955645244,60.268127
7,70.92814,66.75548,80.0,67.5,45.0,60.0,53.0,47.0,57.0,51.666668,56.482033,65.452095,65.13208,55.11302,60.03888,70.46602,53.75972,68.61152,69.42997,55.902878,58.56732,57.02398,53.39183,82.349846,79.50803,59.337463,72.681595,73.84157,56.9204,66.95336626677715,67.42405
8,86.00557,85.73431,71.0,50.0,30.0,40.0,36.0,23.0,41.0,35.666668,48.251392,78.34646,83.206436,46.336617,73.20677,77.92451,45.051693,80.962234,73.56407,46.99056,71.95532,74.44718,44.73883,83.15033,83.03554,47.537582,77.81947,82.784256,46.20487,81.63309527359277,82.20937
9,79.203636,90.47095,75.0,37.5,38.0,30.0,35.0,30.0,34.0,35.666668,46.55091,83.38692,88.98212,47.59673,76.59322,79.41436,45.898308,74.211426,76.10979,45.302856,84.10285,84.24083,47.77571,89.974236,93.607605,49.24356,75.54916,84.96501,45.63729,84.7406674587105,83.647835
10,61.452568,62.40806,79.0,35.0,42.0,30.0,36.0,31.0,33.0,37.0,43.113144,67.69208,67.26599,44.67302,59.796886,51.289066,42.699223,54.46145,47.54728,41.365364,85.556366,81.38426,49.13909,80.48921,80.659424,47.872303,52.17897,69.92731,40.794743,69.09478895869637,67.05622
11,38.810543,37.38406,58.0,40.0,32.0,30.0,33.0,29.0,30.0,31.666666,33.452637,48.965305,45.29722,35.991325,40.44145,38.131744,33.860363,38.61039,31.444342,33.402596,47.700264,44.860874,35.675064,62.64873,57.885456,39.41218,41.542614,37.749516,34.135654,45.14844650111683,44.62214
12,38.41176,38.927307,30.0,50.0,41.0,30.0,31.0,25.0,32.0,34.666668,35.60294,35.37023,36.992058,34.84256,41.43668,43.524754,36.35917,43.121307,39.475517,36.780327,34.903717,32.318092,34.72593,52.808693,46.31922,39.20217,38.67308,44.00993,35.66827,34.977113363135686,35.1754
13,34.65261,33.48475,31.0,50.0,37.0,35.0,34.0,27.0,34.0,35.0,34.913155,34.112465,35.35161,34.778114,35.123802,38.60161,35.030952,43.150806,37.40316,37.0377,31.147083,32.50875,34.03677,43.70355,42.545235,37.175888,34.293335,30.887693,34.823334,30.749972454819282,31.497307
14,36.546635,32.07161,36.0,47.5,31.0,35.0,34.0,30.0,32.0,32.333332,33.386658,43.695225,43.06475,35.173805,36.72101,38.891586,33.430252,39.6977,41.683697,34.174423,36.684654,39.743237,33.421165,44.696003,41.618652,35.424,32.058212,37.722122,32.264553,38.74806882491413,39.417904
15,39.17337,41.531372,37.0,35.0,29.0,25.0,31.0,14.0,29.0,29.666666,32.043343,57.044132,57.32242,36.511032,42.89054,49.127895,32.972633,47.269085,50.073307,34.067272,48.705322,50.22511,34.42633,42.168148,44.318386,32.792038,40.888172,39.68116,32.472042,47.62754371154806,47.882076
16,41.427635,44.00964,43.0,40.0,34.0,45.0,46.0,40.0,43.0,41.0,41.10691,43.240208,45.174847,41.56005,44.745853,45.506966,41.936462,43.57122,44.9094,41.642807,44.59787,45.883404,41.899467,43.708527,46.157322,41.67713,40.913918,45.514893,40.978477,42.451388996809875,41.93086
17,40.1663,40.951855,42.0,40.0,34.0,45.0,42.0,40.0,42.0,39.333332,39.541576,44.858646,43.356857,40.71466,43.921474,42.886177,40.48037,42.726574,42.80204,40.181644,44.841244,44.545662,40.71031,42.942947,44.72802,40.235737,39.389095,40.733166,39.347275,42.79522215220476,42.317436
18,46.04858,46.887604,42.0,40.0,42.0,40.0,40.0,38.0,42.0,41.333332,42.512146,51.479458,48.254936,43.869865,52.842396,51.762474,44.210598,54.281807,51.128536,44.57045,53.468765,51.86149,44.36719,44.779022,45.34002,42.194756,44.875065,45.629787,42.218765,45.88837410593527,47.87189
19,43.64683,45.123848,42.0,40.0,37.0,35.0,40.0,29.0,42.0,39.666668,40.66171,44.49176,44.553207,40.87294,48.009804,48.085327,41.75245,48.65837,47.464043,41.914593,46.50236,47.68751,41.37559,45.042976,44.192204,41.010742,43.42388,43.455746,40.605972,41.96188124675386,43.076595
20,35.91165,37.071518,39.0,45.0,33.0,35.0,40.0,31.0,39.0,37.333332,36.977913,36.20777,35.92324,37.05194,39.989765,39.390724,37.99744,37.223064,38.625042,37.305767,36.44577,36.323875,37.111443,40.087265,41.410576,38.021816,35.78845,36.297756,36.947113,36.62225043263136,35.583714
21,36.545074,36.061974,32.0,45.0,37.0,35.0,35.0,34.0,32.0,34.666668,35.13627,34.734413,35.26941,34.6836,39.45792,37.919537,35.86448,37.233658,38.566544,35.308414,35.97724,35.566788,34.99431,39.9054,40.68309,35.97635,36.413086,37.769295,35.10327,36.213291390994875,34.96698
22,37.56276,37.61192,36.0,45.0,48.0,35.0,36.0,35.0,36.0,40.0,39.39069,38.29682,38.430428,39.574203,39.28579,39.939762,39.82145,38.211723,38.819324,39.552933,40.10639,39.536697,40.026596,40.32174,41.551357,40.080437,37.408226,38.267036,39.35206,38.073639348608296,37.418716
23,38.19935,39.59768,35.0,40.0,45.0,30.0,38.0,35.0,35.0,39.333332,39.049835,38.48624,39.334003,39.12156,40.944237,40.35409,39.73606,40.364975,41.311226,39.591244,40.333717,40.476887,39.583427,41.363815,42.84969,39.840954,40.436764,39.693344,39.60919,38.16303920518208,37.567528
24,45.67081,45.126373,32.0,35.0,34.0,30.0,36.0,31.0,32.0,34.0,36.9177,44.98339,46.425377,36.74585,51.11675,50.899124,38.279186,50.28826,51.03708,38.072067,47.178864,47.413677,37.294716,41.786636,42.63861,35.94666,43.379715,45.464447,36.34493,42.985220378305016,44.4955
25,42.888283,42.864426,32.0,35.0,29.0,30.0,32.0,29.0,32.0,31.0,33.97207,41.637897,41.431385,33.659473,49.26034,48.206516,35.565086,50.372215,48.278988,35.843056,42.47361,42.60454,33.8684,42.501846,42.835278,33.87546,41.254837,45.1381,33.56371,37.69925873917497,40.66889
26,43.15525,42.10553,43.0,35.0,36.0,40.0,41.0,30.0,43.0,40.0,40.78881,41.801384,41.59533,40.450348,49.302246,47.14463,42.32556,48.599167,47.340878,42.14979,41.3023,41.741035,40.325577,43.33106,43.13819,40.832764,42.615135,45.286163,40.653786,39.156283130096504,41.36254
27,34.932426,35.88566,36.0,30.0,41.0,35.0,38.0,30.0,36.0,38.333332,37.48311,34.30921,34.75492,37.3273,37.848045,38.53118,38.212013,37.890903,38.365448,38.222725,34.453255,34.334656,37.36331,41.511566,43.08004,39.12789,36.265568,37.56847,37.81639,34.44408540915275,33.443497
28,31.208923,31.24625,28.0,30.0,31.0,30.0,32.0,29.0,28.0,30.333334,30.55223,31.341516,31.248966,30.585379,33.64852,33.41927,31.16213,33.00968,33.428925,31.00242,31.18118,31.418457,30.545296,37.76416,38.217247,32.19104,30.763271,32.2605,30.440819,31.881398157102073,30.254051
